0_0 2
0_1 8
1_0 235
1_1 1379
10_0 4
10_1 6079
11_1 27
12_0 1
12_1 5381
13_0 4
13_1 6730
14_0 8027
14_1 8
15_0 456
15_1 5
16_0 124
16_1 150
17_0 3
17_1 10
18_0 1
18_1 127
19_0 6
19_1 2971
2_0 2
2_1 7
20_0 2
20_1 3985
21_0 4983
21_1 5
22_0 146
22_1 320
23_0 1470
23_1 3
24_0 1086
24_1 11
25_0 1357
25_1 4
26_0 40
26_1 173
27_0 19
27_1 133
28_1 1
29_0 17
29_1 103
3_0 6
3_1 3
30_0 4
30_1 5
31_0 1
31_1 1
32_0 9
32_1 53
33_0 1
33_1 5
4_0 316
4_1 100
5_1 39
6_0 10880
6_1 5
7_0 674
7_1 8
8_1 6310
9_0 3
9_1 5972
