0_0 10
1_0 1511
1_1 103
10_0 6079
10_1 4
11_0 27
12_0 5381
12_1 1
13_0 6732
13_1 2
14_0 9
14_1 8026
15_0 403
15_1 58
16_0 174
16_1 100
17_0 11
17_1 2
18_0 128
19_0 2974
19_1 3
2_0 9
20_0 3987
21_0 28
21_1 4960
22_0 345
22_1 121
23_0 1470
23_1 3
24_0 1088
24_1 9
25_0 6
25_1 1355
26_0 195
26_1 18
27_0 143
27_1 9
28_0 1
29_0 112
29_1 8
3_0 8
3_1 1
30_0 8
30_1 1
31_0 1
31_1 1
32_0 55
32_1 7
33_0 6
4_0 413
4_1 3
5_0 39
6_0 10883
6_1 2
7_0 678
7_1 4
8_0 6310
9_0 5973
9_1 2
