48 53
37 63
11 80
56 56
23 86
21 71
13 54
16 86
7 38
12 120
10 126
53 64
59 106
9 46
240 83
26 102
10 67
10 118
11 110
106 64
9 81
8 73
26 86
86 63
9 109
172 63
69 75
169 34
172 63
11 80
56 56
24 72
25 86
25 93
47 85
13 77
52 82
11 83
151 115
36 74
13 64
-1 68
11 110
6 52
28 110
-1 150
63 158
35 20
22 56
96 63
37 68
109 86
19 41
158 86
82 80
151 56
9 120
5 111
13 54
21 71
136 82
10 84
15 107
56 49
73 61
15 88
18 60
22 41
-1 96
82 65
6 52
94 139
43 50
11 85
161 74
82 99
10 79
21 57
4 83
26 86
5 94
24 37
79 100
13 55
19 60
73 39
59 106
16 86
13 64
25 31
22 34
31 117
53 64
18 79
33 52
25 55
63 72
11 74
20 40
14 102
9 89
29 61
6 65
86 200
24 68
27 80
9 41
11 39
44 38
15 121
2 54
240 83
12 120
6 102
39 76
84 60
21 82
25 65
24 91
21 95
22 77
143 80
6 85
28 80
35 43
21 29
55 82
4 26
63 61
13 60
9 112
63 64
50 51
24 113
14 72
78 71
53 64
10 118
4 120
13 80
10 80
-1 59
8 71
37 81
56 49
21 60
10 71
34 75
76 77
56 74
11 44
13 65
16 59
175 85
170 124
45 131
25 110
240 52
40 81
51 132
8 73
11 110
-1 74
11 100
28 43
4 35
70 91
8 42
39 116
54 59
15 48
15 31
240 105
7 55
240 98
39 73
4 200
86 43
240 117
73 111
60 44
37 81
13 83
12 114
25 42
169 114
-1 60
6 100
8 108
-1 48
7 54
19 60
8 90
14 138
7 54
11 190
35 35
44 37
-1 39
37 81
25 42
63 69
86 43
57 40
60 49
16 75
26 86
26 66
96 76
19 44
91 31
22 53
11 44
175 85
16 59
29 64
24 65
63 60
40 53
170 124
45 131
25 110
-1 33
240 52
8 48
37 34
51 132
40 81
25 42
2 66
-1 74
172 63
86 63
29 91
11 100
15 62
20 71
28 43
22 74
29 55
55 15
11 61
70 91
45 127
82 74
104 33
4 35
138 37
15 67
134 72
39 116
17 78
8 42
54 59
172 63
9 109
-1 116
15 48
21 83
240 105
15 31
240 98
7 55
17 45
-1 83
171 70
4 200
13 70
39 73
73 54
240 117
86 43
73 111
24 68
119 42
60 44
37 81
277 95
69 75
24 72
18 76
12 114
9 108
14 130
13 83
25 42
34 37
39 52
158 105
240 71
92 39
169 114
45 88
170 60
6 100
25 55
53 67
25 92
39 116
74 38
-1 85
6 62
25 86
25 93
28 84
-1 60
53 52
-1 48
56 56
170 65
8 108
52 63
7 54
8 90
13 127
30 31
19 60
6 75
11 105
14 45
4 95
23 80
84 36
7 54
32 50
170 67
52 82
47 85
14 138
93 42
11 190
146 68
170 34
40 54
8 65
35 35
11 109
44 37
48 61
-1 39
18 43
-1 74
240 113
37 81
13 97
55 49
25 42
63 69
11 110
108 102
106 74
57 40
37 108
22 76
109 202
9 49
60 49
86 43
146 65
32 32
25 87
53 107
63 56
45 52
146 80
15 43
10 45
6 44
6 50
33 61
-1 100
37 56
37 68
-1 150
170 101
172 125
151 43
12 139
19 44
31 78
11 65
109 37
49 38
165 43
40 90
17 61
9 93
26 52
19 40
11 97
78 81
13 84
60 49
146 68
16 75
14 121
52 52
43 81
96 63
28 110
-1 83
56 60
29 31
18 102
-1 110
38 48
15 66
56 92
25 43
21 20
109 150
74 52
-1 82
146 47
99 49
63 43
32 124
18 52
13 97
14 100
19 53
146 65
151 56
5 111
7 75
170 65
56 56
8 108
209 94
22 176
5 92
52 63
7 54
14 118
13 108
11 65
45 55
29 94
-1 63
8 90
13 127
19 60
30 31
11 105
14 45
6 75
33 126
11 80
9 120
-1 85
4 95
-1 111
-1 87
52 76
86 54
5 61
-1 81
23 80
-1 108
10 112
14 63
136 75
54 110
107 76
84 36
-1 70
22 94
7 54
32 50
82 49
170 67
14 138
82 80
63 158
7 150
93 42
11 190
15 42
146 68
40 54
170 34
41 47
8 65
9 56
67 62
108 107
15 64
9 89
11 109
48 61
35 35
19 55
44 37
-1 39
82 135
24 57
20 129
109 86
108 63
63 50
18 43
-1 74
14 71
240 113
37 81
10 69
13 97
15 150
16 77
55 49
13 59
-1 35
24 79
191 62
13 119
33 90
11 32
25 42
39 116
108 102
63 69
158 86
151 102
106 74
57 40
17 76
22 76
37 108
109 202
46 91
25 80
9 49
60 49
86 43
146 65
32 32
169 39
25 87
44 27
19 36
53 107
63 56
45 52
146 80
15 43
6 44
10 45
6 50
18 60
7 130
33 61
-1 100
13 99
4 86
170 37
191 58
15 72
37 56
54 61
-1 95
-1 53
170 101
44 33
7 44
151 43
172 125
19 44
9 69
11 65
9 67
31 78
170 66
109 37
25 86
10 84
-1 50
49 38
40 90
25 92
15 90
165 43
-1 100
9 93
17 61
19 42
12 139
19 40
4 84
26 52
78 81
11 97
60 49
96 44
16 75
13 84
14 40
146 68
40 72
-1 74
49 57
14 121
52 52
43 81
-1 83
27 59
56 60
29 31
18 102
172 136
-1 110
38 48
27 71
15 66
10 171
56 92
26 65
109 150
25 43
21 20
48 118
-1 82
74 52
146 47
99 49
63 43
73 61
108 113
32 124
122 58
18 52
13 97
14 100
13 58
30 81
19 53
19 61
146 65
30 115
37 71
42 32
132 79
-1 120
27 50
51 68
60 48
13 56
99 74
13 68
109 39
10 71
15 107
56 49
40 54
108 61
41 47
8 65
32 87
9 56
-1 71
67 62
15 64
9 89
11 109
35 35
48 61
19 55
44 37
82 135
-1 39
24 57
108 63
63 50
136 82
11 85
24 72
-1 74
240 113
10 69
14 71
13 97
37 81
15 150
55 49
-1 35
16 77
52 51
24 101
13 59
24 79
16 79
191 62
13 119
63 81
10 120
33 90
22 63
25 42
11 32
39 116
108 107
-1 65
63 69
108 102
106 74
57 40
17 76
22 76
37 108
109 202
46 91
25 80
86 43
9 49
60 49
-1 96
146 65
15 59
32 32
25 87
44 27
169 39
19 36
53 107
63 56
45 52
146 80
15 43
10 45
6 50
6 44
-1 100
33 61
14 80
13 99
170 37
10 62
4 86
191 58
15 72
37 56
-1 95
54 61
